"No.","Time","Source","Destination","Protocol","Length","DateTime"
"31","1540469302.652824","216.239.35.4","192.168.1.132","NTP","90","2018-10-25 12:08:22.652824"
"39","1540469318.654725","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:08:38.654725"
"43","1540469348.734872","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:09:08.734872"
"53","1540469378.814768","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:09:38.814768"
"57","1540469385.751075","216.239.35.8","192.168.1.132","NTP","90","2018-10-25 12:09:45.751075"
"59","1540469408.725010","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:10:08.725010"
"70","1540469438.814898","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:10:38.814898"
"74","1540469468.895042","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:11:08.895042"
"84","1540469498.974933","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:11:38.974933"
"88","1540469528.879933","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:12:08.879933"
"99","1540469558.975060","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:12:38.975060"
"109","1540469589.055197","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:13:09.055197"
"113","1540469619.135089","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:13:39.135089"
"123","1540469649.016353","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:14:09.016353"
"128","1540469679.135202","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:14:39.135202"
"138","1540469709.215089","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:15:09.215089"
"142","1540469739.295225","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:15:39.295225"
"152","1540469768.153555","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-25 12:16:08.153555"
"155","1540469798.175230","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:16:38.175230"
"165","1540469828.255109","104.155.18.91","192.168.1.132","TCP","60","2018-10-25 12:17:08.255109"
"167","1540469831.302129","192.168.1.1","192.168.1.132","DNS","353","2018-10-25 12:17:11.302129"
